Accession	Female_Parent	Male_Parent
TMS14F1117P0003	TMS13F1160P0003	TMS13F1333P0003
TMS14F1222P0002	TMS13F1101P0007	TMS13F1212P0032
TMS13F1333P0003	IITA-TMS-IBA940237	IITA-TMS-IBA010046
TMS14F1012P0002	TMS13F1307P0008	TMS13F1111P0012
TMS14F1141P0003	TMS13F1332P0045	TMS13F1176P0003
TMS13F1016P0002	IITA-TMS-IBA010903	IITA-TMS-IBA970425
IITA-TMS-IBA061635	IITA-TMS-IBA011277	IITA-TMS-IBA011371
TMS14F1117P0005	TMS13F1160P0003	TMS13F1333P0003
IITA-TMS-IBA30572	TMS070094	BRANCA DE SANTA CATARINA
TMS14F1162P0002	TMS13F1212P0079	TMS13F1084P0006
TMS13F1045P0017	IITA-TMS-IBA970353	IITA-TMS-IBA010903
TMS14F1106P0009	TMS13F1095P0009	TMS13F1333P0003
TMS14F1286P0002	IITA-TMS-MM964500	IITA-TMS-MM970043
IITA-TMS-IBA070614	IITA-TMS-IBA011412	FBA-3
TMS14F1288P0012	IITA-TMS-IBA020540	IITA-TMS-IBA030055A
TMS14F1276P0005	TMS13F1008P0020	TMS13F1106P0006
IITA-TMS-IBA062052	IITA-TMS-IBA011115	IITA-TMS-IBA011371
TMS14F1017P0002	TMS13F1307P0020	TMS13F1108P0007
TMS14F1086P0006	TMS13F1160P0009	TMS13F1212P0032
IITA-TMS-IBA070520	IITA-TMS-IBA011442	IITA-TMS-IBA011412
TMS14F1186P0005	TMS13F1214P0004	TMS13F1333P0003
TMS13F1332P0042	IITA-TMS-IBA940237	IITA-TMS-IBA970290
TMS13F1339P0009	IITA-TMS-MM970016	IITA-TMS-IBA970290
TMS13F1024P0002	IITA-TMS-IBA010903	IITA-TMS-IBA020285
TMS14F1054P0003	TMS13F1024P0002	TMS13F1212P0032
TMS13F1306P0003	IITA-TMS-IBA030060	IITA-TMS-IBA000355
UG120177	UG110008	UG110008
TMS13F1212P0002	IITA-TMS-IBA011412	IITA-TMS-IBA020129
TMS14F1196P0005	TMS13F1107P0010	TMS13F1307P0020
TMS14F1138P0005	TMS13F1154P0008	TMS13F1008P0006
TMS13F1008P0020	IITA-TMS-MM964500	IITA-TMS-IBA940006
TMS14F1290P0010	IITA-TMS-IBA070258	IITA-TMS-IBA930134
TMS14F1290P0014	IITA-TMS-IBA070258	IITA-TMS-IBA930134
